Indicator,Correlation
DT.INT.OFFT.CD,-0.154696854
DT.DOD.DSTC.CD,-0.154677759
DT.DOD.MLAT.CD,-0.153991893
BX.KLT.DINV.CD.WD,-0.153930233
DT.NTR.PRVT.CD,-0.153609464
DT.NTR.DLXF.CD,-0.153291553
DT.DIS.PNGB.CD,-0.153288387
DT.DIS.PRVT.CD,-0.153025088
DT.TDS.DPPG.CD,-0.15291876
NY.GDS.TOTL.CD,-0.152485255
NE.GDI.FTOT.CD,-0.1519771
DT.COM.PRVT.CD,-0.151418857
DT.NTR.DECT.CD,-0.151394771
IT.NET.SECR,-0.151190859
DT.AMT.PNGB.CD,-0.150503945
DT.AMT.PBND.CD,-0.150479347
NE.CON.PRVT.PP.KD,-0.150433287
BX.TRF.CURR.CD,-0.150159091
ST.INT.DPRT,-0.149929123
IS.AIR.DPRT,-0.149678355
DT.INT.BLTC.CD,-0.149481715
DT.DIS.DPPG.CD,-0.149480382
DT.NFL.DPPG.CD,-0.148901095
DT.TDS.PRVT.CD,-0.148718931
NE.CON.PRVT.PP.CD,-0.148586342
NE.GDI.TOTL.CD,-0.148438834
DT.AMT.DPPG.CD,-0.14843808
GC.FIN.FRGN.GD.ZS,-0.147031207
NV.IND.TOTL.CD,-0.146971515
DT.NFL.PNGB.CD,-0.146391805
TX.VAL.INSF.ZS.WT,-0.146028135
DT.DOD.OFFT.CD,-0.145867648
DT.COM.DPPG.CD,-0.145802292
DT.DOD.BLTC.CD,-0.144200794
DT.NFL.PCBO.CD,-0.144140867
NV.IND.MANF.CD,-0.143926441
IC.BUS.DISC.XQ,-0.143804763
NY.GNS.ICTR.CD,-0.143736336
DT.NFL.DSTC.CD,-0.143299941
DT.NFL.MOTH.CD,-0.143280726
BX.KLT.DREM.CD.DT,-0.143187044
DT.TDS.DIMF.CD,-0.142625974
DT.AMT.DIMF.CD,-0.142379717
DT.CUR.USDL.ZS,-0.1422838
DT.INT.DIMF.CD,-0.142041556
NY.GNP.MKTP.PP.CD,-0.141300327
DT.INT.MLTC.CD,-0.140954723
DT.NTR.PNGB.CD,-0.140600217
BX.PEF.TOTL.CD.WD,-0.140306297
DT.NFL.PNGC.CD,-0.140164916
DT.AMT.PRVT.CD,-0.139422847
NY.GDP.MKTP.PP.KD,-0.138783306
NY.GDP.MKTP.PP.CD,-0.138487177
DT.NTR.DPPG.CD,-0.137459548
DT.TXR.DPPG.CD,-0.136278959
IT.NET.BBND,-0.136153826
DC.DAC.NZLL.CD,-0.135484535
DT.DOD.MWBG.CD,-0.134933805
IT.MLT.MAIN,-0.134435244
TM.VAL.MMTL.ZS.UN,-0.134407286
DT.NFL.MLAT.CD,-0.134175382
DT.DOD.DIMF.CD,-0.133303271
DT.AMT.BLAT.CD,-0.133073527
DT.TDS.BLAT.CD,-0.132815978
DT.DIS.OFFT.CD,-0.132571103
FI.RES.TOTL.CD,-0.132241141
DT.TDS.MLTC.CD,-0.131317999
IQ.CPA.ECON.XQ,-0.130637443
DT.INT.BLAT.CD,-0.130208084
DT.UND.PRVT.CD,-0.128376749
NE.IMP.GNFS.ZS,-0.128045598
DT.DXR.DPPG.CD,-0.127992154
BX.GSR.ROYL.CD,-0.127976868
DT.AMT.PCBK.CD,-0.127681085
NY.ADJ.DNGY.CD,-0.127540406
DT.AXR.PRVT.CD,-0.127008592
NY.ADJ.SVNX.CD,-0.126931859
DT.DOD.PCBK.CD,-0.126927147
DT.TDS.PCBK.CD,-0.126574348
DT.AMT.MLTC.CD,-0.12576858
DT.DIS.PCBK.CD,-0.125577641
DT.DIS.PROP.CD,-0.124194892
DT.NFL.IAEA.CD,-0.124155117
ST.INT.RCPT.XP.ZS,-0.124022512
DT.DOD.BLAT.CD,-0.123585169
IP.TMK.NRES,-0.122728765
DT.NFL.PCBK.CD,-0.122553075
DT.NTR.PCBK.CD,-0.122468762
DT.DOD.ALLC.CD,-0.122311013
BN.CAB.XOKA.GD.ZS,-0.122004582
DT.IXA.PRVT.CD,-0.121919312
SE.SEC.TCHR.FE,-0.121587079
DT.DIS.BLTC.CD,-0.121582914
SE.XPD.CSEC.ZS,-0.121411818
DT.DSB.DPPG.CD,-0.120872601
FI.RES.XGLD.CD,-0.120767409
DT.DSF.DPPG.CD,-0.120455571
SG.GEN.PARL.ZS,-0.119942423
EG.USE.CRNW.ZS,-0.119249614
DT.NFL.PROP.CD,-0.118394675
EN.URB.LCTY,-0.118223858
DT.NTR.PROP.CD,-0.117416504
DT.NTR.PNGC.CD,-0.117160669
DT.INT.PCBK.CD,-0.116244336
DT.DOD.PROP.CD,-0.116062726
DT.COM.OFFT.CD,-0.115812152
NY.ADJ.DCO2.CD,-0.115351972
IS.SHP.GOOD.TU,-0.114505514
NV.IND.TOTL.ZS,-0.113832478
IE.PPI.TRAN.CD,-0.11325541
DT.AMT.PROP.CD,-0.112558845
FS.AST.CGOV.GD.ZS,-0.112486058
SI.POV.RUGP,-0.112035701
DT.UND.DPPG.CD,-0.11074884
DT.TDS.PROP.CD,-0.11054575
TM.TAX.MANF.SR.ZS,-0.109793451
DT.ODA.ODAT.PC.ZS,-0.108374644
EN.POP.DNST,-0.107288137
SE.SEC.TCHR,-0.106995586
BM.GSR.INSF.ZS,-0.106994829
SE.XPD.CPRM.ZS,-0.10651761
IP.PAT.NRES,-0.106103241
AG.PRD.CREL.MT,-0.105344346
